iter	Passed	Remaining
0	154	154402
1	162	80841
2	165	55163
3	167	41814
4	169	33721
5	171	28474
6	177	25128
7	178	22142
8	180	19844
9	182	18049
10	185	16654
11	189	15561
12	192	14622
13	196	13835
14	199	13095
15	203	12486
16	205	11911
17	207	11332
18	209	10806
19	210	10324
20	211	9879
21	213	9486
22	214	9112
23	215	8773
24	219	8557
25	221	8287
26	222	8018
27	223	7769
28	224	7528
29	225	7304
30	227	7096
31	228	6906
32	229	6726
33	230	6551
34	232	6410
35	233	6260
36	235	6121
37	236	5981
38	237	5853
39	238	5725
40	239	5609
41	240	5492
42	241	5379
43	242	5273
44	243	5171
45	244	5079
46	245	4986
47	248	4937
48	250	4861
49	252	4791
50	254	4726
51	255	4659
52	256	4583
53	257	4514
54	258	4445
55	259	4378
56	261	4320
57	263	4284
58	266	4243
59	267	4191
60	268	4135
61	269	4079
62	271	4031
63	272	3984
64	273	3932
65	274	3884
66	275	3840
67	278	3814
68	280	3788
69	282	3751
70	283	3710
71	284	3669
72	285	3628
73	286	3588
74	287	3547
75	288	3510
76	289	3472
77	290	3437
78	292	3405
79	293	3378
80	294	3346
81	296	3314
82	296	3277
83	297	3247
84	298	3217
85	299	3186
86	300	3157
87	301	3129
88	303	3103
89	304	3077
90	305	3050
91	307	3034
92	309	3017
93	310	2993
94	312	2977
95	314	2957
96	315	2937
97	316	2914
98	317	2889
99	319	2871
100	320	2853
101	322	2837
102	326	2845
103	328	2827
104	329	2808
105	330	2787
106	331	2767
107	332	2747
108	333	2728
109	334	2710
110	336	2691
111	338	2680
112	340	2670
113	342	2659
114	343	2645
115	344	2627
116	345	2608
117	346	2591
118	347	2574
119	348	2557
120	349	2541
121	350	2523
122	352	2511
123	354	2503
124	355	2488
125	356	2474
126	357	2458
127	358	2444
128	359	2430
129	360	2415
130	362	2401
131	363	2387
132	364	2374
133	365	2360
134	366	2347
135	367	2337
136	370	2335
137	373	2330
138	374	2322
139	376	2313
140	378	2306
141	379	2295
142	381	2285
143	383	2282
144	385	2270
145	386	2259
146	387	2248
147	388	2236
148	389	2223
149	390	2212
150	391	2200
151	392	2189
152	393	2178
153	394	2167
154	395	2157
155	396	2146
156	399	2144
157	400	2135
158	402	2126
159	403	2116
160	403	2104
161	404	2094
162	405	2083
163	407	2074
164	408	2064
165	409	2054
166	410	2045
167	411	2036
168	413	2032
169	415	2028
170	417	2023
171	419	2018
172	420	2011
173	421	2002
174	422	1994
175	424	1985
176	425	1977
177	427	1973
178	428	1967
179	430	1959
180	431	1951
181	432	1942
182	433	1934
183	434	1926
184	435	1917
185	436	1909
186	437	1901
187	438	1893
188	439	1886
189	440	1877
190	442	1873
191	444	1871
192	445	1864
193	447	1858
194	448	1851
195	449	1844
196	450	1836
197	451	1830
198	452	1823
199	453	1815
200	454	1808
201	456	1803
202	458	1800
203	461	1800
204	463	1796
205	464	1789
206	465	1783
207	466	1776
208	467	1769
209	468	1764
210	470	1760
211	472	1758
212	474	1754
213	476	1750
214	494	1806
215	496	1801
216	498	1798
217	500	1794
218	502	1790
219	504	1788
220	506	1786
221	508	1780
222	509	1775
223	510	1770
224	512	1764
225	513	1759
226	515	1754
227	518	1755
228	520	1753
229	522	1750
230	524	1746
231	525	1741
232	526	1734
233	528	1728
234	529	1722
235	530	1718
236	533	1718
237	536	1718
238	538	1714
239	539	1709
240	540	1703
241	542	1698
242	543	1692
243	544	1686
244	545	1680
245	546	1674
246	548	1672
247	550	1668
248	551	1664
249	553	1659
250	554	1653
251	555	1647
252	556	1641
253	556	1635
254	558	1630
255	559	1624
256	560	1620
257	561	1615
258	563	1613
259	565	1610
260	567	1606
261	568	1600
262	569	1595
263	570	1590
264	571	1584
265	572	1579
266	573	1574
267	574	1569
268	575	1564
269	578	1565
270	581	1563
271	583	1560
272	584	1555
273	585	1550
274	586	1544
275	587	1540
276	588	1535
277	589	1531
278	590	1526
279	592	1523
280	595	1523
281	597	1521
282	599	1518
283	600	1513
284	601	1509
285	602	1505
286	604	1501
287	606	1499
288	608	1496
289	610	1493
290	612	1492
291	614	1490
292	616	1487
293	618	1484
294	619	1481
295	621	1479
296	625	1480
297	627	1477
298	628	1474
299	630	1471
300	632	1468
301	633	1465
302	636	1464
303	638	1461
304	640	1459
305	642	1457
306	643	1453
307	645	1449
308	646	1445
309	648	1443
310	649	1438
311	651	1436
312	653	1433
313	656	1433
314	658	1431
315	659	1427
316	660	1422
317	661	1418
318	662	1414
319	663	1410
320	665	1407
321	667	1405
322	670	1404
323	671	1401
324	673	1398
325	675	1396
326	676	1392
327	677	1388
328	679	1385
329	681	1383
330	683	1381
331	685	1378
332	686	1375
333	688	1372
334	689	1369
335	690	1365
336	691	1361
337	693	1357
338	695	1355
339	697	1353
340	699	1351
341	700	1348
342	701	1343
343	702	1339
344	704	1336
345	705	1332
346	706	1328
347	707	1324
348	708	1322
349	710	1319
350	712	1317
351	714	1314
352	715	1311
353	716	1307
354	717	1303
355	718	1300
356	720	1297
357	722	1295
358	725	1294
359	727	1292
360	728	1289
361	730	1286
362	731	1283
363	733	1281
364	735	1279
365	736	1275
366	738	1273
367	740	1271
368	743	1272
369	745	1269
370	746	1265
371	748	1262
372	749	1259
373	750	1255
374	751	1252
375	753	1250
376	755	1248
377	757	1246
378	758	1243
379	759	1239
380	760	1235
381	761	1232
382	762	1229
383	764	1225
384	765	1222
385	766	1219
386	768	1217
387	770	1214
388	771	1212
389	772	1208
390	774	1205
391	775	1202
392	776	1198
393	777	1195
394	778	1191
395	779	1188
396	781	1186
397	784	1185
398	785	1183
399	787	1180
400	789	1178
401	790	1176
402	791	1172
403	792	1169
404	793	1166
405	794	1162
406	795	1159
407	796	1156
408	798	1153
409	802	1154
410	803	1151
411	804	1148
412	805	1145
413	806	1141
414	807	1138
415	808	1135
416	809	1132
417	810	1128
418	812	1126
419	813	1123
420	815	1122
421	817	1120
422	819	1117
423	820	1114
424	821	1111
425	822	1108
426	823	1105
427	824	1101
428	825	1099
429	826	1096
430	829	1094
431	830	1092
432	832	1089
433	833	1086
434	834	1083
435	835	1080
436	836	1077
437	837	1074
438	838	1071
439	839	1068
440	840	1065
441	842	1063
442	844	1061
443	845	1058
444	846	1055
445	847	1052
446	848	1049
447	849	1046
448	850	1043
449	851	1040
450	852	1037
451	853	1034
452	854	1031
453	855	1028
454	856	1026
455	859	1025
456	860	1022
457	861	1020
458	863	1017
459	864	1015
460	866	1012
461	867	1009
462	868	1007
463	869	1004
464	870	1001
465	871	998
466	874	997
467	875	995
468	876	992
469	877	989
470	878	986
471	879	983
